search_query,clicks,impressions,click_through_rate,search_date
python basics,6,84,0.0826,2024-11-29
what is machine learning,3,78,0.0385,2024-11-29
aws tutorial,12,151,0.0826,2024-11-29
running shoes,13,86,0.1608,2024-11-29
api testing,9,114,0.0862,2024-11-29
running shoes,29,185,0.1615,2024-11-29
desk chair,25,162,0.1602,2024-11-29
aws tutorial,7,70,0.1055,2024-11-29
water bottle,21,161,0.131,2024-11-29
wireless headphones,8,53,0.1633,2024-11-29
productivity hacks,4,82,0.0506,2024-11-29
coffee maker,11,76,0.1571,2024-11-29
api testing,13,133,0.0985,2024-11-29
meditation guide,3,96,0.0326,2024-11-29
python basics,5,53,0.112,2024-11-29
git commands,12,110,0.1111,2024-11-29
coffee maker,13,102,0.1311,2024-11-29
aws tutorial,2,24,0.1137,2024-11-29
wireless headphones,23,153,0.1516,2024-11-29
water bottle,8,60,0.146,2024-11-29
wireless headphones,29,189,0.1558,2024-11-29
laptop bag,23,172,0.1369,2024-11-29
sql queries,10,105,0.0994,2024-11-29
desk chair,13,93,0.1444,2024-11-29
water bottle,23,144,0.1619,2024-11-29
blue jeans,8,64,0.1317,2024-11-29
meditation guide,2,70,0.0336,2024-11-29
desk chair,15,104,0.1502,2024-11-29
time management tips,3,65,0.0491,2024-11-29
time management tips,3,80,0.0481,2024-11-29
sql queries,5,58,0.0993,2024-11-29
how to cook pasta,2,60,0.0351,2024-11-29
blue jeans,15,99,0.1545,2024-11-29
productivity hacks,1,62,0.0307,2024-11-29
sql queries,5,44,0.1169,2024-11-29
desk chair,23,144,0.1635,2024-11-29
aws tutorial,7,64,0.1163,2024-11-29
git commands,4,45,0.0942,2024-11-29
wireless headphones,20,134,0.154,2024-11-29
meditation guide,3,61,0.0538,2024-11-29
react components,4,44,0.0998,2024-11-29
blue jeans,10,66,0.1571,2024-11-29
git commands,8,98,0.0891,2024-11-29
aws tutorial,11,129,0.0924,2024-11-29
coffee maker,21,163,0.1324,2024-11-29
time management tips,1,22,0.0659,2024-11-29
coffee maker,12,85,0.1502,2024-11-29
wireless headphones,25,149,0.1689,2024-11-29
laptop bag,25,156,0.1647,2024-11-29
aws tutorial,9,96,0.1034,2024-11-29
phone case,23,139,0.1691,2024-11-29
home organization,4,86,0.0506,2024-11-29
coffee maker,19,117,0.1644,2024-11-29
best practices coding,2,44,0.055,2024-11-29
data structures,11,119,0.0926,2024-11-29
meditation guide,3,96,0.0346,2024-11-29
javascript tutorial,6,83,0.0802,2024-11-29
git commands,9,95,0.1039,2024-11-29
javascript tutorial,5,48,0.1148,2024-11-29
water bottle,15,109,0.1385,2024-11-29
css flexbox,13,155,0.0879,2024-11-29
javascript tutorial,7,71,0.1031,2024-11-29
basic photography tips,2,66,0.0389,2024-11-29
aws tutorial,14,139,0.1034,2024-11-29
desk chair,18,127,0.1418,2024-11-29
meditation guide,1,34,0.0307,2024-11-29
coffee maker,17,113,0.155,2024-11-29
sql queries,12,115,0.1049,2024-11-29
blue jeans,16,123,0.1375,2024-11-29
phone case,23,164,0.1454,2024-11-29
productivity hacks,2,58,0.0516,2024-11-29
meditation guide,2,44,0.0475,2024-11-29
running shoes,21,136,0.1579,2024-11-29
what is machine learning,2,39,0.0625,2024-11-29
desk chair,32,194,0.1665,2024-11-29
meditation guide,1,27,0.0477,2024-11-29
water bottle,11,80,0.1426,2024-11-29
phone case,21,141,0.1533,2024-11-29
productivity hacks,1,41,0.0465,2024-11-29
healthy breakfast ideas,0,14,0.0515,2024-11-29
api testing,14,155,0.0944,2024-11-29
home organization,2,46,0.0515,2024-11-29
git commands,10,110,0.0967,2024-11-29
docker basics,11,131,0.0874,2024-11-29
gaming mouse,26,188,0.143,2024-11-29
gaming mouse,27,161,0.1679,2024-11-29
water bottle,18,121,0.1568,2024-11-30
python basics,13,130,0.1006,2024-11-30
how to cook pasta,1,51,0.0337,2024-11-30
aws tutorial,9,109,0.0881,2024-11-30
api testing,9,103,0.0909,2024-11-30
blue jeans,29,175,0.1676,2024-11-30
aws tutorial,4,38,0.1101,2024-11-30
best practices coding,1,51,0.0345,2024-11-30
docker basics,5,60,0.0855,2024-11-30
api testing,8,86,0.0997,2024-11-30
css flexbox,7,73,0.1035,2024-11-30
aws tutorial,11,129,0.0902,2024-11-30
time management tips,0,28,0.0333,2024-11-30
data structures,13,125,0.1069,2024-11-30
time management tips,1,21,0.0598,2024-11-30
desk chair,28,207,0.1385,2024-11-30
gaming mouse,14,93,0.1525,2024-11-30
docker basics,6,59,0.1071,2024-11-30
gaming mouse,31,192,0.1655,2024-11-30
running shoes,16,99,0.1688,2024-11-30
what is machine learning,2,43,0.0583,2024-11-30
data structures,13,131,0.1005,2024-11-30
phone case,25,166,0.1551,2024-11-30
best practices coding,4,64,0.0663,2024-11-30
how to cook pasta,1,42,0.0321,2024-11-30
running shoes,15,109,0.1457,2024-11-30
meditation guide,2,29,0.0692,2024-11-30
productivity hacks,2,53,0.0477,2024-11-30
productivity hacks,4,99,0.0493,2024-11-30
best practices coding,1,26,0.0687,2024-11-30
home organization,4,71,0.0605,2024-11-30
aws tutorial,3,40,0.0866,2024-11-30
what is machine learning,2,72,0.038,2024-11-30
basic photography tips,3,67,0.0596,2024-11-30
python basics,5,52,0.1135,2024-11-30
healthy breakfast ideas,0,23,0.0385,2024-11-30
running shoes,18,129,0.144,2024-11-30
api testing,9,111,0.0846,2024-11-30
healthy breakfast ideas,5,96,0.0547,2024-11-30
gaming mouse,16,122,0.1319,2024-11-30
phone case,23,174,0.1322,2024-11-30
productivity hacks,0,22,0.043,2024-11-30
aws tutorial,10,101,0.1043,2024-11-30
python basics,11,102,0.1124,2024-11-30
data structures,12,110,0.1181,2024-11-30
css flexbox,9,78,0.1188,2024-11-30
basic photography tips,4,74,0.0588,2024-11-30
how to cook pasta,3,54,0.0594,2024-11-30
meditation guide,2,61,0.0373,2024-11-30
healthy breakfast ideas,4,70,0.0627,2024-11-30
data structures,5,69,0.0855,2024-11-30
css flexbox,12,108,0.117,2024-11-30
basic photography tips,1,27,0.061,2024-11-30
javascript tutorial,3,46,0.0822,2024-11-30
react components,6,71,0.0877,2024-11-30
home organization,5,92,0.0607,2024-11-30
meditation guide,2,69,0.0368,2024-11-30
python basics,7,82,0.0866,2024-11-30
time management tips,0,13,0.0524,2024-11-30
laptop bag,12,83,0.1461,2024-11-30
home organization,5,90,0.0612,2024-11-30
coffee maker,22,157,0.1415,2024-11-30
productivity hacks,2,34,0.0666,2024-11-30
what is machine learning,3,70,0.0534,2024-11-30
running shoes,24,168,0.144,2024-11-30
wireless headphones,14,100,0.1451,2024-11-30
healthy breakfast ideas,2,92,0.0323,2024-11-30
sql queries,4,48,0.0927,2024-11-30
phone case,25,158,0.1617,2024-11-30
home organization,2,38,0.056,2024-11-30
